शब्द	मूल	पर्याय	मूल भाषा में	रूप	Regex	Reference
रास्ता	फारसी	मार्ग		रास्तों, रास्तो, रास्ते, रस्ता, रस्ते		
राह	फारसी	मार्ग		राहों, राहें		
राहगीर	फारसी	यात्री, पथिक		राहगीरों, राहगीरो		
राहत	अरबी	सहायता, भारमुक्ति				
राही	फारसी	यात्री, पथिक				
रिक्वेस्ट	आङ्ग्लभाषा	विनती, प्रार्थना	request 			
रिकशा	जापानी	???				
रिजर्व्	आङ्ग्लभाषा	संरक्षित, निग्रह, संग्रह, विनिग्रह, 	reserve	रिजर्व 		
रिज़ल्ट	आङ्ग्लभाषा	परिणाम	result			
रिजीम	आङ्ग्लभाषा	शासन, व्यवस्था	regime 			
रिपोर्ट	आङ्ग्लभाषा	प्रतिवेदन, विवरण	report	रिवाजों,		
रिपैर्	आङ्ग्लभाषा	जीर्णोद्धार, सुस्थ, क्षतिपूरण, ठीक, सम्यक्, 	repair 		^र(ि|ी)प(ेै|ेय)र(्)?$	
रिफ़्यूजी	आङ्ग्लभाषा	शरणार्थी	refugee 	रिफ्यूजीओं, रिफ्यूजीओ , रेफ्यूजी		
रियाज	अरबी	अभ्यास, तपस्या, 				
रियायत	अरबी	छूट		रिआयत, रियायतें		
रियासत	अरबी	राज्य, वैभव, शासन		रियासतें, रियासतों, रियासते		
रियासतकालीन	अरबी+हिन्दी	???				
रिलीज्	आङ्ग्लभाषा	मोचन, मुक्ति, प्रदर्शन, प्रकाशन, 	release 		^र(ि|ी)ल(ि|ी)ज(्)?$	
रिवाज	अरबी	प्रथा, प्रणाली, परम्परा				
रिश्ता	फारसी	सम्बन्ध		रिश्ते, रिश्तों, रिश्तो		
रिश्तेदार	फारसी	सम्बन्धी		रिश्तेदारों, रिस्तेदार, रिस्तेदारो		
रिश्तेदारी	फारसी	सम्बन्ध				
रिश्वत	अरबी	घूस, उत्कोच, भ्रष्टाचार				
रिस्क	आङ्ग्लभाषा	जोखिम , सङ्कट, विपत्ति	risk			
रिसर्च 	आङ्ग्लभाषा	अनुसन्धान , अन्वेषण,  शोध,  	research 			
रिहा	फारसी	मुक्त				
रिहाई	फारसी	मुक्ति, छुटकारा				
रिफॉर्म्स	आङ्ग्लभाषा	सुधार, दोषनिवृत्ति	reform 			
रुख़	फारसी	मुख, अभिवृत्ति				
रुख़सत	अरबी	आज्ञा, प्रस्थान, अवकाश		रूखसत, रुखशत, रूखशत		
रुझान	अरबी	???		रूझान		
रुतबा	अरबी	प्रतिष्ठा		रुतबे , रूतबा, रूतबे		
रुमाल	फारसी	करवस्त्र		रूमाल		
रुसवा	फारसी	अपमानित, कलङ्कित				
रुसवाई	फारसी	अपयश, कलङ्क, निन्दा, अपमान		रुसवाईयाँ, रुसवाईयां, रुसवाईया		
रूमानी	???	अद्भुतप्रिय, मनोहर, हृदयग्राही				
रूमानियत	???	???				
रूबरू	फारसी	समक्ष		रुबरु, रुबरू		
रूह	अरबी	आत्मा, अन्तःकरण, चित्त		रूहें, रूहों,		
रूहानी	अरबी	आत्मिक, आध्यात्मिक				
रेकोर्ड्	आङ्ग्लभाषा	कीर्तिमान, अभिलेख,  	record 	रिकार्ड,  रिकॉर्ड,  रेकोर्ड, रेकॉर्ड्स, रेकोर्ड्स, रेकोर्ड्स्		
रेगिस्तान	फारसी	मरुस्थल, मरुभूमि				
रेड्	आङ्ग्लभाषा	रक्त, लोहित, रोहित, शोणित, रक्तवर्ण, अरुण, 	red	रेड		
रेडिएशन्	आङ्ग्लभाषा	विकिरण, 	radiation 	रेडिएशन		
रेप	आङ्ग्लभाषा	बलात्कार	rape			
रेलेवेंट	आङ्ग्लभाषा	प्रासङ्गिक, उचित, सुसङ्गत	relevant 	रेलेवेन्ट, रिलेवंट,		
रेस्क्यू	आङ्ग्लभाषा	बचाव	rescue 			
रेस्तराँ	फ्रेंच	भोजनालय	restaurant 			
रेस 	आङ्ग्लभाषा	स्पर्धा, दौड, प्रजाति, जाति,  	race			
रेसलर	आङ्ग्लभाषा	 मल्ल 	wrestler 			
रोड	आङ्ग्लभाषा	सड़क, मार्ग, पथ	road			
रोज़	फारसी	दिन, प्रतिदिन				
रोज़गार	फारसी	व्यापार				
रोज़मर्रा	अरबी+फारसी	दैनिक, नित्य		रोजमर्रे		
रोजाना	फारसी	प्रतिदिन, दैनिक				
रोशन	फारसी	प्रकाशित, प्रदीप्त, प्रसिद्ध, प्रख्यात				
रोशनी	फारसी	प्रकाश		रौशनी		
						
लकीर	???	रेखा		लकीरों, लकीरो, लकीरें, लकीरे		
लगाम	फारसी	नियन्त्रण, अङ्कुश				
लज़ीज़	अरबी	स्वादिष्ट				
लंग्स्	आङ्ग्लभाषा	फुप्फुस, फेफड़ों	lungs	लंग्स		
लफ्ज़	अरबी	शब्द		लफ्जो, लफ्जों, लफ्जे, लफजों, लब्ज, लब्जो, लब्जों,		
लफंगा	फारसी	दुश्चरित्र, व्यभिचारी, चरित्रहीन		लफंगों, लफंगो, लफंगे		
लबादा	अरबी	???				
लम्हा	अरबी	क्षण, घड़ी		लम्हें, लम्हों, लम्हे		
लश्कर	फारसी	सेना				
लहज़ा	अरबी	ढङ्ग, शैली, लय		लहजे		
लाइलाज	अरबी	असाध्य				
लाइसेंस्	आङ्ग्लभाषा	अनुमति, अनुज्ञा, अनुज्ञाप‍त्र, अधिकार, 	license 		^ला(इ|ई)से(न्|ं)स(्)?$	
लाउड्स्पीकर्	आङ्ग्लभाषा	ध्वनिवर्धक	loudspeeker	लाउडस्पीकर		
लाचार	अरबी+फारसी	विवश, निरुपाय, असमर्थ		लाचारों		
लाचारी	अरबी+फारसी	विवशता, निःसहायता				
लाजवाब	अरबी	अतुलनीय, अप्रतिम		लाजबाब		
लाज़िम	अरबी	आवश्यक, उचित				
लाजिमी	अरबी	आवश्यक, उचित, अनिवार्य		लाजमी, लाज्मी		
लानत	अरबी	धिक्कार, तिरस्कार		लानते, लानतें,		
लापता	अरबी+हिन्दी	गुप्त, स्थानभ्रष्ट,				
लापरवाह	अरबी+फारसी	असावधान, अविचारी				
लापरवाही	अरबी+फारसी	असावधानी, उपेक्षा				
लाश	फारसी	शव		लाशों, लाशें		
लास्ट	आङ्ग्लभाषा	अन्तिम, गत	last			
लिंचिंग 	आङ्ग्लभाषा	हत्या 	lynching 			
लिबास	अरबी	वेश, परिधान, वस्त्र		लिबाज		
लिमिट	आङ्ग्लभाषा	मर्यादा, सीमा	limit	लीमिट, लिमीट,		
लिस्ट्	आङ्ग्लभाषा	सूची, सूचिपत्र, आवलि, 	list	लिस्ट 		
लिहाज़	अरबी	विचारशीलता, चिन्ता				
लिहाज़ा	अरबी	इसलिए, अतः				
लेकिन	अरबी	परन्तु, किन्तु	لكن	लेकीन		
लॉट	आङ्ग्लभाषा	खेप	lot			
लोर्ड्	आङ्ग्लभाषा	विधाता, भगवान्  सामन्त, शासक, 	lord	लॉर्ड,  लोर्ड 		
लोन्च्	आङ्ग्लभाषा	आरम्भ, चालू, प्रक्षेपण, 	launch	लॉन्च, 		
						
व्हीट	आङ्ग्लभाषा	गेहूँ	wheat			
वक्त	अरबी	समय, काल, वेळा	وقت			
वक्फ	अरबी	दान				
वकालत	अरबी	प्रतिनिधित्व, अभिभाषण, अभिवचन		विकालत		
वकील	अरबी	अधिवक्ता, अभिभाषक, प्रतिनिधि		वकीलों		
वक़ूफ़	अरबी	ज्ञान, बुद्धि				
वज़न	अरबी	भार, बोझ, महत्व				
वजनी	अरबी	भारी				
वजनदार	अरबी+फारसी	भारी				
वजह	अरबी	कारण, हेतु		वजहो, वजहों, वजहें, वजहे, बजह		
वजूद	अरबी	अस्तित्व				
वतन	अरबी	देश, स्वदेश				
वफ़ा	अरबी	निष्ठा		वफ़ाओं, वफाओ, वफ़ाए		
वफ़ात	अरबी	मृत्यु, देहान्त,				
वफादार	अरबी+फारसी	निष्ठावान, निष्ठ,				
वफादारी	अरबी	निष्ठा				
वबा	अरबी	महामारी		वबाएँ, वबाएं		
वर्क्	आङ्ग्लभाषा	कार्य	work	वर्क		
वर्ल्ड्	आङ्ग्लभाषा	विश्व, जगत, संसार	world	वर्ल्ड		
वर्शिप्	आङ्ग्लभाषा	पूजा, आराधना, 	worship 	वर्शिप, वरशिप, 		
वरना	फारसी	अन्यथा, नहीं तो		वर्ना		
वसूल	अरबी	प्राप्त, लब्ध		वसूला		
वसूली	अरबी	प्राप्ति, उगाही				
वहम	अरबी	भ्रम, सन्देह, संशय, शङ्का				
वहशी	अरबी	असभ्य, अभद्र, जङ्गली				
वहशीपन	अरबी	असभ्यता, क्रूरता, पशुता				
वाकई	अरबी	वस्तुतः, वास्तव में,				
वाक़िफ़	अरबी	परिचित, जागरूक				
वादा	अरबी	वचन		वादे		
वादाख़िलाफ़ी	अरबी+फारसी	वचनभङ्ग				
वापस	अरबी	पुनः		वापिस		
वापसी	अरबी	???				
वायरल्	आङ्ग्लभाषा	सङ्क्रामक 	viral	वाइरल, वायरल, 		
वायरस	आङ्ग्लभाषा	विषाणु	virus	वाइरस		
वारदात	अरबी	घटना, दुर्घटना,		वारदातों		
वारंट्	आङ्ग्लभाषा	अधिकारपत्र, आज्ञापत्र, शासनपत्र, अनुज्ञापत्र, 	warrant 	वारंट		
वाहियात	अरबी	व्यर्थ, निरर्थक, मुर्ख, अशिष्ट, दुष्ट				
विजन	आङ्ग्लभाषा	दृष्टि, स्वप्न	vision			
विजनरी	आङ्ग्लभाषा	दूरदर्शी, दीर्घदृष्टा	visionary 			
विरासत	अरबी	पैतृक, उत्तराधिकार, वंशागत				
वास्ते	अरबी	कारण, हेतु, लिए, निमित्त				
वेरिफाइ	आङ्ग्लभाषा	???	verify	वेरिफाई, वेरीफाई, वेरीफाइ	^वेर(ि|ी)फा(इ|ई)(ड|ड्)?$	
वेरियंट्	आङ्ग्लभाषा	प्रकार	variant	वेरिएंट, वेरियंट, वैरियंट		
वेरिफिकेशन्	आङ्ग्लभाषा	???	verification 	वेरिफिकेशन	^वेर(ि|ी)फ(ि|ी)केशन(्|्स्|्स)?$	
वोट	आङ्ग्लभाषा	मत	vote	वोटों		
वोटर	आङ्ग्लभाषा	मतदाता,	voter	वोटर्स		
वोलण्टियर्	आङ्ग्लभाषा	स्वयंसेवक, 	volunteer 		^व(ो|ॉ)ल(े)?(न्|ं|ण्)टयर(्|्स्|्स)?$	
वैक्सीन्	आङ्ग्लभाषा	टीका	vaccine 	वैकसीन, वेक्सीन, वैक्सीन		
वैक्सिनेशन्	आङ्ग्लभाषा	टीकाकरण	vaccination	वैक्सीनेशन, वैक्सिनेशन		
						
शक्ल	अरबी	रूप, मुख, मुखाकृति		शक्लें, शकल		
शक	अरबी	संशय, सन्देह,				
शख्स	अरबी	व्यक्ति		शख्सों, सख्श, शक्स		
शख़्सियत	अरबी	व्यक्तित्व				
शगूफ़ा	फारसी	विलक्षण बात		शिगूफा		
शफाकत	अरबी	कृपा, प्रेम	شفقة	शफकत		
शब	फारसी	रात्रि				
शबाब	अरबी	यौवनावस्था, सौन्दर्य, युवावस्था, यौवनकाल		शवाब		
शम्स	अरबी	सूर्य				
शर्त	अरबी	प्रतिज्ञा, पण, नियम,  		शर्तें, शर्तों		
शर्बत	अरबी	रस		शरबत		
शर्म	फारसी	लज्जा, सङ्कोच		शरम		
शर्मनाक	फारसी	लज्जाजनक, लज्जास्पद		शरमनाक		
शर्मसार	फारसी	लज्जित, लज्जावान, लज्जाशील				
शर्मिंदगी	फारसी	लज्जा		शर्मिन्दगी, शरमिन्दगी		
शर्मिंदा	फारसी	लज्जित		शरमिंदा, शरमिन्दा		
शराफत	अरबी	भद्रता, सज्जनता, शिष्टता, भलमनसी,				
शराब	अरबी	मद्य, मदिरा				
शराबी	अरबी+फारसी	मद्यप,				
शरारत	अरबी	चंचलता				
शरारतपूर्ण	अरबी+हिन्दी					
शरारती	अरबी	नटखट, चंचल				
शरीफ	अरबी	सभ्य, सज्जन, प्रतिष्ठित, शिष्ट				
शह	फारसी	राजा, भडकाना				
शहद	अरबी	मधु, पुष्परस				
शहंशाह	फारसी	सम्राट		शहन्शाह, शहनशाह, शहेंशाह, शहेन्शाह, शहेनशाह		
शहर	फारसी	नगर, पुर		शहरी, शहरों		
शहरयार	फारसी	नृपति , शासक				
शहादत	अरबी	वीरगति				
शहीद	अरबी	[मूल अर्थ: इस्लाम के लिए बलिदान देने वाला] हुतात्मा, बलिदानी		शहीदों, शहीदी		
शागिर्द	फारसी	शिष्य, चेला, विद्यार्थी		शागिर्दों, शागिर्दो,		
शाद	फारसी	प्रसन्न, आनंदित, पूर्ण,				
शादकाम	फारसी	प्रसन्न, सफल,				
शादकामी	फारसी	प्रसन्नता				
शादी	फारसी	विवाह, लग्न		शादियों, शादियो, शादीयों, शादीयो, शादियां, शादियाँ		
शादीशुदा	फारसी	विवाहित				
शातिर	अरबी	धूर्त, धृष्ट				
शान	अरबी	शोभा, गर्व				
शानदार	अरबी+फारसी	भव्य, उत्कृष्ट, आकर्षक, तेजस्वी				
शाबाश	फारसी	साधुवाद, साधु				
शाम	फारसी	सन्ध्या, साँझ	شام	शामें, शामों		
शामिल	अरबी	समाविष्ट, सम्मिलित, समावेश				
शायद	फारसी	कदाचित्, सम्भवतः				
शायर	अरबी	कवि				
शायरा	अरबी	कवयित्री				
शायरी	अरबी+फारसी	कविता, काव्य				
शाह	फारसी	राजा				
शाहज़ादा	फारसी	राजकुमार		शहजादा, शहजादे, शाहजादे, शहजादें, शाहजादें, शहजादों, शाहजादों, शहजादो, शाहजादो		
शाही	फारसी	राजसी				
शिकन	फारसी	ऊर्मिका				
शिकवा	अरबी	उलाहना, उपालंभ, विलाप		शिकवे		
शिकस्त	फारसी	पराजय				
शिकायत	अरबी	अभियोग, दुःखकथन		शिकायतें, शिकायतों, शिकायतो		
शिकार	फारसी	आखेट, मृगया, पीडित,				
शिकारी	फारसी	आखेटक				
शिकारियो	फारसी	आखेटकों				
शिद्दत	अरबी	उग्रता, प्रचण्डता, तीव्रता, प्रबलता, भीषणता				
शैतान	अरबी	राक्षस, दैत्य	شيطان	शैतानों		
शुक्रगुजार	अरबी+फारसी	आभारी				
शुक्रिया	अरबी	धन्यवाद, आभार		शुक्रीया		
शुगर	आङ्ग्लभाषा	शर्करा	sugar			
शुरू	अरबी	आरम्भ, प्रारम्भ		शुरु		
शुरुआत	अरबी	आरम्भ, प्रारम्भ		शुरूआत, शुरुवात, शुरूवात, शूरुआत, शूरूआत, शूरुवात, शूरूवात		
शुरुआती	अरबी	प्रारम्भिक				
शेख़ी	तुर्की	डींग, घमंड, अभिमान,				
शेख़ीख़ोर	तुर्की+फारसी	अहंकारी, डींग हाँकने वाला, ???				
शेखीबाज़	तुर्की+फारसी	अहंकारी, डींग हाँकने वाला, ???				
शेर	फारसी	सिंह, व्याघ्र, काव्यांश		शेरो		
शोर	फारसी	कोलाहल, उन्माद,				
शोहरत	अरबी	ख्याति, प्रसिद्धि, यश, प्रतिष्ठा		शौहरत		
शौक़	अरबी	रुचि				
शौकीन	अरबी	छैला, रसिक, रंगीला		शौकिन,		
शौहर	फारसी	पति				
						
स्कीम्	आङ्ग्लभाषा	योजना	scheme	स्कीम		
स्कूल्	आङ्ग्लभाषा	विद्यालय	school	स्कूलों, स्कूल		
स्टार्	आङ्ग्लभाषा	तारा	star	स्टार		
स्टारकास्ट	आङ्ग्लभाषा	???	starcast			
	आङ्ग्लभाषा		statue			
स्टेज्	आङ्ग्लभाषा	मञ्च, चरण, अवस्था, 	stage	स्टेज, 		
स्टेडियम्	आङ्ग्लभाषा	क्रीडाङ्गण, 	stadium 	स्टेडियम		
स्ट्रोन्ग्	आङ्ग्लभाषा	सशक्त, सबल, दृढ, तीव्र,	strong	स्ट्रॉन्ग, स्ट्रोन्ग		
स्टोरी 	आङ्ग्लभाषा	कथा , वार्ता	story			
स्टोरेज्	आङ्ग्लभाषा	संग्रह, सञ्चय	storage	स्टोरेज		
स्पीच्	आङ्ग्लभाषा	भाषण, वक्तव्य, कथन, 	speech	स्पीच		
स्पीड्	आङ्ग्लभाषा	गति, वेग	speed	स्पीड		
स्पोर्ट्	आङ्ग्लभाषा	क्रीडा, खेल, 	sport	स्पोर्ट		
स्पोर्ट्स्	आङ्ग्लभाषा	क्रीडा, खेल, 	sports 	स्पोर्ट्स		
स्याही	फारसी	मसि, कज्जल				
स्वाइन्	आङ्ग्लभाषा	शूकर, सुअर, 	swine	स्वाइन		
सख़्त	फारसी	कठोर, दृढ़, प्रखर, अतिशय		सखत, 		
सख़्ती	फारसी	कठोरता, कठिनता, निष्करुणा				
सजदा	अरबी	अल्लाह को प्रणाम		सज्दा		
सज़ा	फारसी	दण्ड				
सजावल	तुर्की	राजकर्मचारी				
सदमा	अरबी	आघात, क्षोभ		सदमे		
सदी	फारसी	शताब्दी, शती				
सदियों	फारसी	शताब्दियों				
संदूक़	अरबी	पेटी				
सनद	अरबी	प्रमाणपत्र, प्रमाण				
सनम	अरबी	प्रियतम, प्रिय, प्रेमी				
सप्लाइ	आङ्ग्लभाषा	आपूर्ति	supply	सप्लाई		
सपोर्ट	आङ्ग्लभाषा	समर्थन, सहयोग, सहायता	support			
सफ़र	अरबी	यात्रा				
सफ़रनामा	अरबी+फारसी	भ्रमणवृतांत, यात्रा-विवरण				
सफ़हा	अरबी	पृष्ठ,		सफ्हा		
सफा	अरबी	पवित्र, पृष्ठ, शुद्ध		सफे		
सफाई	अरबी+फारसी	स्वच्छता, निर्मलता		सफाइ		
सफेद	फारसी	श्वेत, धवल				
सब्जी	फारसी	साग, शाक, शाकभाजी				
सब्र	अरबी	धैर्य				
सबक	अरबी	पाठ, शिक्षा				
सबब	अरबी	कारण, हेतु				
सबूत	अरबी	प्रमाण		सबुत, सबूतों,		
समझदार	हिन्दी+फारसी	बुद्धिमान				
समझदारी	हिन्दी+फारसी	विचारशीलता, बुद्धिमत्ता, विवेक				
समंदर	फारसी	समुद्र		समुंदर, समुंदरो, समंदरो, समन्दर		
समा	अरबी	आकाश, गगन, दृश्य, व्योम		समां, समाँ		
समिट्	आङ्ग्लभाषा	सम्मेलन 	summit 	समिट 		
सर्कुलेशन्	आङ्ग्लभाषा	परिभ्रमण, प्रसार,	circulation 	सर्कुलेशन		
सर्टिफिकेट्	आङ्ग्लभाषा	प्रमाणपत्र 	certificate 	सर्टिफिकेट , सर्टिफिकेट्स, सर्टीफिकेट		
सर्दी	फारसी	ठण्ड, शीत				
सर्विस्	आङ्ग्लभाषा	सेवा,  व्यापार,  व्यावसाय, 	service 	सर्विस, सर्विसेज, 		
सरकार	फारसी	राज्य, शासन, प्रभुत्व		सरकारें, सरकारों		
सरकारी	फारसी	राजकीय, शासकीय				
सरगर्दां	फारसी	व्याकुल, चिंतित				
सरताज	फारसी	मुकुट, मुख्य, अग्रगण्य, नायक				
सरदार	फारसी	नायक, नेता, प्रमुख		सरदारों, सरदारो		
सरदी	फारसी	प्रतिश्याय, पीनस,				
सरहद	अरबी	सीमा		सरहदें, सरहदे		
सरासर	फारसी	पूर्णतया, प्रत्यक्ष, स्पष्टतः, साक्षात्, 				
सरिश्ता	फारसी	कार्यालय, न्यायालय				
सरेआम	अरबी+फारसी	सार्वजनिक				
सरेंडर्	आङ्ग्लभाषा	आत्मसमर्पण	surrender 	सरेंडर		
सरेराह	फारसी	बीच सडक				
सल्तनत्	अरबी	राज्य, साम्राज्य		सल्तनत		
सलाम	अरबी	नमस्कार, प्रणाम, वन्दन		सलामी		
सलामत	अरबी	कुशल, क्षेम, सुरक्षित	سلامت			
सलामती	अरबी+फारसी	सुरक्षा, स्वास्थ्य				
सलाह	अरबी	परामर्श, उपदेश		सलाहों		
सलीका	अरबी	सभ्यता, शिष्टता, योग्यता, ढङ्ग, व्यवहार		सलीके		
सलूक	अरबी	व्यवहार				
सवाल	अरबी	प्रश्न		सवालों, सवालो		
सस्पेण्ड्	आङ्ग्लभाषा	निलम्बित 	suspend	सस्पेंड , सस्पेण्ड		
सहर	अरबी	प्रातःकाल, प्रभात, सवेरा				
सहूलियत	अरबी	सुगमता, सुविधा, सरलता				
सही	अरबी	सत्य, उचित, वास्तव, योग्य, यथार्थ, शुद्ध, प्रामाणिक				
साइन्स्	आङ्ग्लभाषा	विज्ञान	science 	सायंस, साइन्स, साइंस		
साऊथ्	आङ्ग्लभाषा	दक्षिण	south	साउथ, साऊथ		
साकी	अरबी	मदिरा पिलाने वाली व्यक्ति				
साजिश	फारसी	षड़यन्त्र, कुचक्र		साजिशें		
साफ	अरबी	स्पष्ट, स्वच्छ, शुद्ध, निर्मल				
सानेहा	अरबी	दुर्घटना				
साबुन	अरबी	मार्जनलेप, ???	صابون			
साबुनफरोश	अरबी	???				
साबुनसाज	अरबी	???				
साबुनसाजी	अरबी	???				
साबित	अरबी	सिद्ध, प्रमाणित				
सामान	फारसी	वस्तुएँ , उपकरण, सामग्री				
साल	फारसी	वर्ष, वत्सर, अब्द		सालो, सालों, સાલ, 		
सालगिरह	फारसी	वर्षगाँठ				
सालभर	फारसी	वर्षपर्यंत				
सालाना 	फारसी	वार्षिक 				
साहब	अरबी	श्रीमान, महोदय, महाशय		साहेब, साहिब, भाईसाहब		
साहिल	अरबी	तट				
सिक्योर्	आङ्ग्लभाषा	सुरक्षित	secure	सिक्युर, सिक्योर		
सिक्योरिटी	आङ्ग्लभाषा	सुरक्षा	security	सिक्युरिटी, सिक्योरिटीज		
सीक्रेट्	आङ्ग्लभाषा	रहस्य, गुप्त,	secret	सीक्रेट, सीक्रेट्स, 		
सितम	फारसी	अन्याय, अत्याचार, अनीति				
सितारा	फारसी	तारा		सितारों, सितारे, सितारें		
सिफर	अरबी	शून्य, रिक्त, अयोग्य, तुच्छ				
सिफ़ारिश	फारसी	संस्तुति, गुणवर्णन, उपदेश, प्रेरणा				
सिर्फ	अरबी	केवल, मात्र				
सिरदर्द	फारसी	शिरोवेदना, शिर्षवेदना, चिन्ता		सरदर्द		
सियासत	अरबी	राजनीति				
सियासी	अरबी	राजनैतिक				
सियाह	फारसी	दूषित, अशुभ,				
सियाहकार	फारसी	दुश्चरित्र				
सियाहकारी	फारसी	अपराध				
सियाहगोश	फारसी	???				
सियाहचश्म	फारसी	???				
सियाहजबाँ	फारसी	???				
सियाहदस्त	फारसी	कञ्जूस				
सियाहदाना	फारसी	काला जीरा				
सियाहपोश	फारसी	निष्ठुर, क्रूर				
सियाहबख्ती	फारसी	दुर्भाग्य				
सियाहमस्त	फारसी	मदमत्त				
सियाहरू	फारसी	पापी				
सियाहवक्त	फारसी	अभागा				
सियाहसफेद	फारसी	हित अहित				
सिल्वर	आङ्ग्लभाषा	रजत	silver			
सिलसिला	आङ्ग्लभाषा	क्रम, परम्परा, शृङ्खला		सिलसिले		
सिवा	फारसी	अतिरिक्त		सिवाय		
सिस्टम्	आङ्ग्लभाषा	तन्त्र, प्रणाली, व्यवस्था	system 	सिस्टम, सिस्टम्स		
सिस्टर्	आङ्ग्लभाषा	स्वसा, भगिनी, बहन, उपचारिका, 	sister	सिस्टर, सिस्टर्स, 		
सुकून	अरबी	शान्ति		सुकुन , सुकूं, सुकूँ,		
सुनामी	जापानी	???				
सुप्रीम्	आङ्ग्लभाषा	सर्वोच्च, परम, उच्चतम, 	supreme 	सुप्रीम		
सुपुर्द	फारसी	हस्तांतरित				
सुपोर्ट	आङ्ग्लभाषा	समर्थन	support 	सपोर्ट		
सुब्हानी	अरबी	ईश्वरीय , अलौकिक		सुबहानी		
सुबह	अरबी	प्रातःकाल, प्रभात, सवेरा		सुबहों, सुबहें, सुब्ह		
सुर्ख	फारसी	रक्तवर्ण				
सुर्खचश्म	फारसी	रक्तनेत्र				
सुर्खपोश	फारसी	रक्ताम्बर				
सुर्खरंग	फारसी	रक्तवर्ण				
सुराख	फारसी	छिद्र, छेद				
सुराग	अरबी	सङ्केत				
सुरागसाँ	अरबी	गुप्तचर				
सुरागसी	अरबी	अन्वेषण				
सुरूर	अरबी	मद, प्रमाद, मादकता, उन्माद, आनन्द		सूरूर, सुरुर, सूरुर		
सुल्तान	अरबी	सम्राट		सुलतान		
सुहाना	???	रमणीय, मनोज्ञ, सुन्दर		सुहानी		
सूद	फारसी	ब्याज				
सेक्टर्	आङ्ग्लभाषा	क्षेत्र, विभाग, शाखा, खण्ड, 			^सेक्टर(्|्स्|्स)?$	
सेक्स्	आङ्ग्लभाषा	समागम, मैथुन	sex	सेक्स		
सेकण्ड्	आङ्ग्लभाषा	क्षण, द्वितीय,	second	सेकंड, सेकण्ड		
सेंचुरी	आङ्ग्लभाषा	शतक, शताब्दी	century			
सेन्टर्	आङ्ग्लभाषा	केन्द्र	center	सेन्टर, सेंटर, सेंटर्स		
सेशन्	आङ्ग्लभाषा	सत्र, बैठक, अधिवेशन, सभा, 	session 	सेशंस, सेशन		
सेहत	अरबी	स्वास्थ्य, आरोग्य				
सेहतयाब	फारसी	स्वस्थ, निरोगी				
सोशल	आङ्ग्लभाषा	सामाजिक	social 	सोशियल		
सोसाइटी 	आङ्ग्लभाषा	समाज 	society 	सोसायटी 		
सोहबत	अरबी	साथ, सङ्गम, समागम				
सॉल्यूशन	आङ्ग्लभाषा	समाधान, विलयन	solution			
सैल्यूट	आङ्ग्लभाषा	वन्दन, नमन 	salute			
सैलरी	आङ्ग्लभाषा	वेतन	salary			
सैलाब	अरबी+फारसी	जलप्रपात, जलप्रलय,				
सौगात	तुर्की	उपहार, भेंट				
सौदा	अरबी	क्रय विक्रय, व्यापार वाणिज्य		सौदे		
सौदागर	अरबी+फारसी	व्यापारी		सौदागरों		
सौदागरी	अरबी+फारसी	व्यापार				
						
हक	अरबी	अधिकार		हुकूक, 		
हकदार	अरबी+फारसी	अधिकारी				
हकीकत	अरबी	यथार्थता, सत्य, वास्तविकता				
हजम	अरबी	पाचन				
हजरत	अरबी	महोदय				
हजामत	अरबी	क्षौर				
हजार	फारसी	सहस्र, दशशत	هزار	हजारों, हज़ारो		
हद	अरबी	सीमा, पराकाष्ठा		हदों, हदें,		https://en.m.wiktionary.org/wiki/%D9%87%D8%B2%D8%A7%D8%B1
हदबंदी	अरबी	सीमाङ्कन				
हंगामा	फारसी	उपद्रव, उन्माद		हन्गामा, हंगामे, हन्गामे, हङ्गामा		
हनक	अरबी	उन्माद, अभिमान, प्रभाव				
हफ्ता	फारसी	सप्ताह		हफ्ते		
हब्	आङ्ग्लभाषा	केन्द्र	hub	हब 		
हमउम्र	फारसी+अरबी	समवयस्क				
हमदम	???	मित्र, साथी, सखा, बन्धु, सुहृत्, वयस्य, स्निग्ध				
हमदर्द	फारसी	???				
हमदर्दी	फारसी	सहानुभूति, संवेदना				
हमराह	फारसी	सहगामी, सहयात्री		हमराही		
हमला	अरबी	आक्रमण, वार, चढ़ाई, प्रहार		हमले, हमलों		
हमलावर	अरबी	प्रहारक, आक्रमणकारी		हमलावरों		
हमसफर	अरबी	सहयात्री				
हमेशा	फारसी	सदा, सर्वदा, सदैव				
हया	अरबी	लज्जा				
हयात	अरबी	जीवन, 				
हर्ज	अरबी	हानि				
हर्जाना	अरबी	क्षतिपूर्ति, निष्कृति, प्रतिफल		हर्जाने		
हर्फ	अरबी	अक्षर, वर्ण,		हरफ		
हरकत	अरबी	चेष्टा, कर्म, गति, दुष्कर्म		हरकतों, हरकतो, हरकतें, हरकते		
हराम	अरबी	जो इस्लाम मे निषिद्ध है, वर्जित				
हरामखोर	अरबी+फारसी	नीच, पापी, दुष्ट,		हरामखोरो, हरामखोरों		
हरामजादा	अरबी+फारसी	वर्णसंकर, दुष्ट		हरामजादे, हरामजादी		
हरामी	अरबी+फारसी	नीच, पापी, दुष्ट,		हरामियों		
हरावल	तुर्की	???				
